loss,grad_norm,learning_rate,epoch
3.941,10.986515998840332,4.205562659846547e-05,0.16
3.9882,11.56950569152832,3.406329923273657e-05,0.32
4.0454,9.086556434631348,2.6070971867007677e-05,0.48
4.0922,10.158329963684082,1.8078644501278774e-05,0.64
4.1506,11.311519622802734,1.010230179028133e-05,0.8
4.2299,10.31090259552002,2.1099744245524295e-06,0.96
3.8487,10.518448829650879,4.205562659846547e-05,0.16
3.9277,12.224714279174805,3.406329923273657e-05,0.32
4.0122,8.917752265930176,2.6070971867007677e-05,0.48
4.0694,10.448301315307617,1.8078644501278774e-05,0.64
4.1327,10.812435150146484,1.010230179028133e-05,0.8
4.2232,10.15447998046875,2.1099744245524295e-06,0.96
3.7341,9.665069580078125,4.205562659846547e-05,0.16
3.8432,11.6828031539917,3.406329923273657e-05,0.32
3.9719,9.02719783782959,2.6070971867007677e-05,0.48
4.0477,10.078975677490234,1.8078644501278774e-05,0.64
4.1167,10.874702453613281,1.010230179028133e-05,0.8
4.2162,9.975224494934082,2.1099744245524295e-06,0.96
3.5996,9.51230525970459,4.205562659846547e-05,0.16
3.7483,11.165261268615723,3.406329923273657e-05,0.32
3.9284,8.408792495727539,2.6070971867007677e-05,0.48
4.0269,10.074110984802246,1.8078644501278774e-05,0.64
4.103,11.051092147827148,1.010230179028133e-05,0.8
4.2094,10.251276969909668,2.1099744245524295e-06,0.96
3.461,9.126355171203613,4.205562659846547e-05,0.16
3.647,11.055623054504395,3.406329923273657e-05,0.32
3.8792,8.94635009765625,2.6070971867007677e-05,0.48
4.0058,10.445707321166992,1.8078644501278774e-05,0.64
4.0921,11.285441398620605,1.010230179028133e-05,0.8
4.2035,9.983209609985352,2.1099744245524295e-06,0.96
3.3292,11.267546653747559,4.205562659846547e-05,0.16
3.5354,11.850085258483887,3.406329923273657e-05,0.32
3.8227,8.48442554473877,2.6070971867007677e-05,0.48
3.9845,10.067042350769043,1.8078644501278774e-05,0.64
4.0823,10.743744850158691,1.010230179028133e-05,0.8
4.198,9.973580360412598,2.1099744245524295e-06,0.96
3.2064,12.832733154296875,4.205562659846547e-05,0.16
3.4203,11.757547378540039,3.406329923273657e-05,0.32
3.7597,8.557053565979004,2.6070971867007677e-05,0.48
3.9623,10.34106159210205,1.8078644501278774e-05,0.64
4.0733,10.816193580627441,1.010230179028133e-05,0.8
4.193,10.159151077270508,2.1099744245524295e-06,0.96
3.0948,10.508682250976562,4.205562659846547e-05,0.16
3.2986,11.401483535766602,3.406329923273657e-05,0.32
3.6883,8.580704689025879,2.6070971867007677e-05,0.48
3.9381,10.204510688781738,1.8078644501278774e-05,0.64
4.065,11.063812255859375,1.010230179028133e-05,0.8
4.1887,10.239378929138184,2.1099744245524295e-06,0.96
