loss,grad_norm,learning_rate,epoch
4.2741,10.541557312011719,4.205562659846547e-05,0.16
4.2634,11.502976417541504,3.406329923273657e-05,0.32
4.2602,8.978730201721191,2.6070971867007677e-05,0.48
4.2576,9.196568489074707,1.8078644501278774e-05,0.64
4.2576,10.442692756652832,1.010230179028133e-05,0.8
4.2537,9.547890663146973,2.1099744245524295e-06,0.96
4.2334,11.195962905883789,4.205562659846547e-05,0.16
4.2355,11.903261184692383,3.406329923273657e-05,0.32
4.2394,8.84668254852295,2.6070971867007677e-05,0.48
4.2426,9.324573516845703,1.8078644501278774e-05,0.64
4.2488,10.55846118927002,1.010230179028133e-05,0.8
4.2512,9.666359901428223,2.1099744245524295e-06,0.96
4.1976,11.161593437194824,4.205562659846547e-05,0.16
4.2047,11.870479583740234,3.406329923273657e-05,0.32
4.2165,8.879773139953613,2.6070971867007677e-05,0.48
4.2261,9.449291229248047,1.8078644501278774e-05,0.64
4.2405,10.770079612731934,1.010230179028133e-05,0.8
4.2494,9.689692497253418,2.1099744245524295e-06,0.96
4.161,11.020904541015625,4.205562659846547e-05,0.16
4.1698,11.906371116638184,3.406329923273657e-05,0.32
4.1891,9.253853797912598,2.6070971867007677e-05,0.48
4.2066,9.899458885192871,1.8078644501278774e-05,0.64
4.23,11.01969051361084,1.010230179028133e-05,0.8
4.2475,9.415353775024414,2.1099744245524295e-06,0.96
4.1206,11.211236953735352,4.205562659846547e-05,0.16
4.1347,12.370564460754395,3.406329923273657e-05,0.32
4.1601,8.9026460647583,2.6070971867007677e-05,0.48
4.1848,9.833165168762207,1.8078644501278774e-05,0.64
4.217,10.85428524017334,1.010230179028133e-05,0.8
4.2453,10.137298583984375,2.1099744245524295e-06,0.96
4.0848,11.66327953338623,4.205562659846547e-05,0.16
4.1017,11.804577827453613,3.406329923273657e-05,0.32
4.1314,8.969894409179688,2.6070971867007677e-05,0.48
4.1621,10.094992637634277,1.8078644501278774e-05,0.64
4.2024,10.8977689743042,1.010230179028133e-05,0.8
4.2427,9.953193664550781,2.1099744245524295e-06,0.96
4.0479,11.443100929260254,4.205562659846547e-05,0.16
4.0713,11.82942008972168,3.406329923273657e-05,0.32
4.1031,9.163110733032227,2.6070971867007677e-05,0.48
4.1384,9.726107597351074,1.8078644501278774e-05,0.64
4.1864,11.084331512451172,1.010230179028133e-05,0.8
4.2395,10.062919616699219,2.1099744245524295e-06,0.96
4.0043,11.042680740356445,4.205562659846547e-05,0.16
4.0363,11.74148941040039,3.4079283887468034e-05,0.32
4.0753,8.928098678588867,2.608695652173913e-05,0.48
4.1155,10.200188636779785,1.8094629156010232e-05,0.64
4.1691,10.537171363830566,1.010230179028133e-05,0.8
4.2355,9.673820495605469,2.1099744245524295e-06,0.96
